"kod","kommun","typ","year","value"
"0509","ÖDESHÖG","dairy_cows","1981",1418
"0509","ÖDESHÖG","dairy_cows","1985",1391
"0509","ÖDESHÖG","dairy_cows","1989",1091
"0509","ÖDESHÖG","dairy_cows","1990",1033
"0509","ÖDESHÖG","dairy_cows","1991",952
"0509","ÖDESHÖG","dairy_cows","1992",887
"0509","ÖDESHÖG","dairy_cows","1993",834
"0509","ÖDESHÖG","dairy_cows","1994",836
"0509","ÖDESHÖG","dairy_cows","1995",813
"0509","ÖDESHÖG","dairy_cows","1999",694
"0509","ÖDESHÖG","dairy_cows","2003",612
"0509","ÖDESHÖG","dairy_cows","2005",542
"0509","ÖDESHÖG","dairy_cows","2007",510
"0509","ÖDESHÖG","dairy_cows","2010",478
"0509","ÖDESHÖG","dairy_cows","2013",334
"0509","ÖDESHÖG","dairy_cows","2016",343
"0509","ÖDESHÖG","dairy_cows","2020",344
"0509","ÖDESHÖG","dairy_cows","2023",320
"0512","YDRE","dairy_cows","1981",2832
"0512","YDRE","dairy_cows","1985",2674
"0512","YDRE","dairy_cows","1989",2440
"0512","YDRE","dairy_cows","1990",2377
"0512","YDRE","dairy_cows","1991",2141
"0512","YDRE","dairy_cows","1992",2048
"0512","YDRE","dairy_cows","1993",2069
"0512","YDRE","dairy_cows","1994",2093
"0512","YDRE","dairy_cows","1995",1965
"0512","YDRE","dairy_cows","1999",2077
"0512","YDRE","dairy_cows","2003",2326
"0512","YDRE","dairy_cows","2005",2543
"0512","YDRE","dairy_cows","2007",2213
"0512","YDRE","dairy_cows","2010",1714
"0512","YDRE","dairy_cows","2013",1743
"0512","YDRE","dairy_cows","2016",1767
"0512","YDRE","dairy_cows","2020",1592
"0512","YDRE","dairy_cows","2023",1488
"0513","KINDA","dairy_cows","1981",4646
"0513","KINDA","dairy_cows","1985",4535
"0513","KINDA","dairy_cows","1989",3945
"0513","KINDA","dairy_cows","1990",4055
"0513","KINDA","dairy_cows","1991",3598
"0513","KINDA","dairy_cows","1992",3599
"0513","KINDA","dairy_cows","1993",3660
"0513","KINDA","dairy_cows","1994",3436
"0513","KINDA","dairy_cows","1995",3281
"0513","KINDA","dairy_cows","1999",3107
"0513","KINDA","dairy_cows","2003",3031
"0513","KINDA","dairy_cows","2005",3041
"0513","KINDA","dairy_cows","2007",4116
"0513","KINDA","dairy_cows","2010",3895
"0513","KINDA","dairy_cows","2013",3805
"0513","KINDA","dairy_cows","2016",3941
"0513","KINDA","dairy_cows","2020",3333
"0513","KINDA","dairy_cows","2023",3498
"0560","BOXHOLM","dairy_cows","1981",1193
"0560","BOXHOLM","dairy_cows","1985",1165
"0560","BOXHOLM","dairy_cows","1989",1038
"0560","BOXHOLM","dairy_cows","1990",1105
"0560","BOXHOLM","dairy_cows","1991",998
"0560","BOXHOLM","dairy_cows","1992",1033
"0560","BOXHOLM","dairy_cows","1993",1041
"0560","BOXHOLM","dairy_cows","1994",1049
"0560","BOXHOLM","dairy_cows","1995",920
"0560","BOXHOLM","dairy_cows","1999",773
"0560","BOXHOLM","dairy_cows","2003",941
"0560","BOXHOLM","dairy_cows","2005",1010
"0560","BOXHOLM","dairy_cows","2007",847
"0560","BOXHOLM","dairy_cows","2010",805
"0560","BOXHOLM","dairy_cows","2013",878
"0560","BOXHOLM","dairy_cows","2016",855
"0560","BOXHOLM","dairy_cows","2020",682
"0560","BOXHOLM","dairy_cows","2023",778
"0561","ÅTVIDABERG","dairy_cows","1981",3129
"0561","ÅTVIDABERG","dairy_cows","1985",3046
"0561","ÅTVIDABERG","dairy_cows","1989",2639
"0561","ÅTVIDABERG","dairy_cows","1990",2542
"0561","ÅTVIDABERG","dairy_cows","1991",2319
"0561","ÅTVIDABERG","dairy_cows","1992",2301
"0561","ÅTVIDABERG","dairy_cows","1993",2400
"0561","ÅTVIDABERG","dairy_cows","1994",2449
"0561","ÅTVIDABERG","dairy_cows","1995",2272
"0561","ÅTVIDABERG","dairy_cows","1999",1880
"0561","ÅTVIDABERG","dairy_cows","2003",1900
"0561","ÅTVIDABERG","dairy_cows","2005",1883
